"name","birthDate","birthPlace","height","weight","startYear","endYear","leagues","positions","teams","awards"
"Dejan Radonjić",1970-02-02,"Socialist Republic of Montenegro",,,1990-01-01,2004-01-01,"ABA League","Coach (basketball), Point guard","KK Crvena zvezda","2020–21 Radivoj Korać Cup, 2021–22 Radivoj Korać Cup, Magenta SportCup"
"Dejan Radonjić",1970-02-02,"Socialist Republic of Montenegro",,,1990-01-01,2004-01-01,"ABA League","Coach (basketball)","KK Crvena zvezda","2018–19 Basketball Bundesliga, 2020–21 ABA League First Division, 2020–21 Basketball League of Serbia, ABA League Coach of the Season, Basketball Bundesliga, Radivoj Korać Cup, YUBA League, Yugoslav Basketball Cup"
"Dejan Radonjić",1970-02-02,"Socialist Republic of Montenegro",,,1990-01-01,2004-01-01,"EuroLeague","Coach (basketball)","KK Crvena zvezda","2014–15 ABA League, 2014–15 Radivoj Korać Cup, 2016–17 Radivoj Korać Cup, 2018–19 Basketball Bundesliga, 2020–21 ABA League First Division, 2020–21 Basketball League of Serbia, ABA League, Montenegrin Basketball Cup, Prva A Liga, Radivoj Korać Cup, Yugoslav Basketball Cup"
"Brandon Costner",1987-07-21,"Montclair, New Jersey",2.0574,106596.0,2009-01-01,,"Baloncesto Superior Nacional","Power forward (basketball)","Grises de Humacao","Atlantic Coast Conference, Baloncesto Superior Nacional, List of All-Atlantic Coast Conference men's basketball teams, McDonald's All-American Game, Parade All-America Boys Basketball Team"
"Dejan Kravić",1990-09-09,"Mostar",2.1336,110678.0,2014-01-01,,"Basketball Champions League, Liga ACB","Center (basketball)","Baloncesto Málaga","Basketball Champions League, Basketball Cup (Netherlands), DBL All-Star Gala, Dutch Basketball Supercup, FIBA Intercontinental Cup"
"Derrick Favors",1991-07-15,"Atlanta",2.0574,120204.0,2010-01-01,,"National Basketball Association","Power forward (basketball)","Oklahoma City Thunder","Atlantic Coast Conference Men's Basketball Rookie of the Year, McDonald's All-American Game, Mr. Basketball USA, Mr. Georgia Basketball, NBA All-Rookie Team, Naismith Prep Player of the Year Award, Parade All-America Boys Basketball Team"
"Elishay Kadir",1987-11-04,"Yavne",2.032,111132.0,2005-01-01,,"Israeli Basketball Premier League","Center (basketball), Power forward (basketball)","Bnei Herzliya Basket","2014–15 Israeli Basketball Super League, 2017–18 Israeli Basketball Premier League, Israeli Basketball Premier League, Israeli Basketball Premier League MVP, Israeli Basketball Premier League Quintet"
"Brandon Clarke",1996-09-19,"Vancouver",2.032,97524.0,2019-01-01,,"National Basketball Association","Power forward (basketball)","Memphis Grizzlies","Mountain West Conference, NBA All-Rookie Team, NCAA Men's Basketball All-Americans, Sporting News, West Coast Conference"
"Brandon McCoy",1998-06-11,"Chicago",2.1336,113400.0,2018-01-01,,"BNXT League, Basketball Champions League","Center (basketball)","B.C. Oostende","Jordan Brand Classic, McDonald's All-American Game"
"Adam Hrycaniuk",1984-03-15,"Barlinek",2.0574,103421.0,2002-01-01,,"Polish Basketball League","Center (basketball)","Arka Gdynia (basketball)","2017 Polish Basketball Cup, Polish Basketball Cup, Polish Basketball League"
"Eduardo Hernández-Sonseca",1983-06-21,"Madrid",2.1209,111132.0,2000-01-01,,"LEB Plata","Center (basketball)","Basket Navarra Club","Liga Española de Baloncesto"
"Troy Rosario",1992-01-20,"Mandaluyong",2.0066,98884.8,2015-01-01,,"Philippine Basketball Association","Power forward (basketball)","TNT Tropang Giga","List of Philippine Basketball Association champions, PBA All-Rookie Team, PBA All-Star Game Most Valuable Player Award, PBA Developmental League, PBA Mythical Team, Philippine Basketball Association All-Star Game, University Athletic Association of the Philippines"
"Devin Davis (basketball, born 1995)",1995-03-29,"Indianapolis",2.0066,100246.0,2018-01-01,,"LNB Pro A","Center (basketball), Power forward (basketball)","ESSM Le Portel","National Junior College Athletic Association"
"Hasahn French",1998-03-09,"Middletown, Orange County, New York",2.0066,108864.0,2021-01-01,,"ABA League, Premier A Slovenian Basketball League","Center (basketball), Power forward (basketball)","KK Krka","Atlantic 10 Conference"
"Eduardo Mingas",1979-01-29,"Saurimo",,106000.0,1995-01-01,,"Angolan Basketball League","Power forward (basketball)","Petro de Luanda (basketball)","2009 FIBA Africa Clubs Champions Cup, 2014 FIBA Africa Clubs Champions Cup, 2018–19 Africa Basketball League, Africa Basketball League All-Star Team, FIBA Africa Basketball League"
"Strahinja Gavrilović",1993-04-05,"Serbia and Montenegro",,104000.0,2016-01-01,,"ABA League Second Division, Basketball League of Serbia","Power forward (basketball)","KK Mladost Zemun","Radivoj Korać Cup"
"Bojan Dubljević",1991-10-24,"Nikšić",,115000.0,2009-01-01,,"EuroCup Basketball","Center (basketball), Power forward (basketball)","Valencia Basket","2013–14 Eurocup Basketball, 2018–19 EuroCup Basketball, ACB Finals Most Valuable Player Award, EuroCup Basketball, EuroCup Basketball All-EuroCup Team, EuroCup Basketball Rising Star, Liga ACB, Supercopa de España de Baloncesto"
"Achille Polonara",1991-11-23,"Italy men's national basketball team",,90000.0,2009-01-01,,"Basketbol Süper Ligi","Power forward (basketball)","Fenerbahçe S.K. (basketball)","Lega Basket Serie A awards"
"Boriša Simanić",1998-03-20,"Republic of Serbia (1992–2006)",,99000.0,2014-01-01,,"ABA League","Power forward (basketball)","KK Mega Basket","2016–17 ABA League, 2020–21 Radivoj Korać Cup, ABA League, ABA League Supercup, Euroleague Basketball Next Generation Tournament"
"Boriša Simanić",1998-03-20,"Republic of Serbia (1992–2006)",,99000.0,2014-01-01,,"ABA League","Power forward (basketball)","KK Mega Basket","2018–19 ABA League First Division, 2018–19 Basketball League of Serbia, Basketball League of Serbia, Radivoj Korać Cup"
"Adam Thoseby",1991-11-25,"Melbourne",,93000.0,2009-01-01,,"NBL1 West","Small forward","Perry Lakes Hawks","Peach Belt Conference"
"Elissa Cunane",2000-09-25,"Summerfield, North Carolina",1.9558,86184.0,,,"Atlantic Coast Conference","Center (basketball), Power forward (basketball)","NC State Wolfpack women's basketball","2020 NCAA Women's Basketball All-Americans, ACC Women's Basketball Tournament, Atlantic Coast Conference, NCAA Women's Basketball All-Americans, United States Basketball Writers Association"
"Sunday Salvacion",1978-12-17,"Surigao del Sur",1.905,86184.0,2003-01-01,,"Maharlika Pilipinas Basketball League","Coach (sport), Shooting guard, Small forward","Navotas Uni-Pak Sardines","2003 PBA All-Star Weekend, 2004–05 PBA Philippine Cup, 2006–07 PBA Philippine Cup, 2008 PBA Fiesta Conference, 2011 PBA Governors' Cup, List of Philippine Basketball Association champions, NCAA Season 75, NCAA Season 76, National Collegiate Athletic Association (Philippines), Philippine Basketball Association"
"Hakan Köseoğlu",1981-12-12,"Turkey",1.8796,79380.0,1998-01-01,,"Basketbol Süper Ligi","Point guard","Torku Konyaspor B.K.","Basketbol Süper Ligi season assists leaders"
"Sunday Salvacion",1978-12-17,"Philippines",1.905,86184.0,2003-01-01,,"Maharlika Pilipinas Basketball League","Coach (sport), Shooting guard, Small forward","Navotas Uni-Pak Sardines","2003 PBA All-Star Weekend, 2004–05 PBA Philippine Cup, 2006–07 PBA Philippine Cup, 2008 PBA Fiesta Conference, 2011 PBA Governors' Cup, List of Philippine Basketball Association champions, NCAA Season 75, NCAA Season 76, National Collegiate Athletic Association (Philippines), Philippine Basketball Association"
"Brandon Ingram",1997-09-02,"Kinston, North Carolina",2.032,86184.0,2016-01-01,,"National Basketball Association","Small forward","New Orleans Pelicans","Associated Press, Atlantic Coast Conference Men's Basketball Rookie of the Year, List of All-Atlantic Coast Conference men's basketball teams, List of NBA All-Stars, McDonald's All-American Game, NBA All-Rookie Team, NBA Most Improved Player Award, North Carolina Mr. Basketball, Parade All-America Boys Basketball Team"
"Deividas Gailius",1988-04-26,"Klaipėda",2.0066,91627.2,2005-01-01,,"Lietuvos krepšinio lyga","Shooting guard, Small forward","BC Neptūnas","2015 LKL All-Star Game, Karaliaus Mindaugo taurė, Lietuvos krepšinio lyga, National Basketball League (Lithuania), Slovenian Basketball Supercup"
"Adaora Elonu",1990-04-28,"Houston",1.8542,74844.0,2012-01-01,,"Liga Femenina de Baloncesto","Basketball positions","Uni Girona CB","Copa de la Reina de Baloncesto, NBA Most Valuable Player Award, NCAA Division I Women's Basketball Tournament"
"Elijah Mitrou-Long",1996-12-15,"Ontario",1.87325,83916.0,2020-01-01,,"Greek Basket League","Point guard, Shooting guard","Apollon Patras B.C.","Northeast Conference, Northeast Conference Men's Basketball Tournament"
"Deividas Gailius",1988-04-26,"Soviet Union",2.0066,91627.2,2005-01-01,,"Lietuvos krepšinio lyga","Shooting guard, Small forward","BC Neptūnas","2015 LKL All-Star Game, Karaliaus Mindaugo taurė, Lietuvos krepšinio lyga, National Basketball League (Lithuania), Slovenian Basketball Supercup"
"Braian Angola",1994-04-06,"Villanueva, Casanare",1.9812,88452.0,2018-01-01,,"Greek Basket League","Small forward","AEK B.C.","FIBA Europe Cup, National Junior College Athletic Association, Pro Basketball League, Pro Basketball League Finals MVP"
"Dimitrios Verginis",1987-05-15,"Greece",1.905,92988.0,2005-01-01,,"Greek A2 Basket League","Point guard, Shooting guard","ASK Karditsas B.C.","EuroLeague, FIBA EuroCup All-Star Day, Greek Basket League, Greek Basketball Cup"
"Elgin Cook",1993-01-15,"Milwaukee",1.9558,95256.0,2016-01-01,,"Basketball Champions League, Basketbol Süper Ligi","Small forward","Tofaş S.K.","Krešimir Ćosić Cup, List of All-Pac-12 Conference men's basketball teams, Pac-12 Conference Men's Basketball Tournament"
"Henrik Širko",1993-01-23,"Šibenik",,94000.0,2008-01-01,,"Kosovo Basketball Superleague","Small forward","KB Ylli","Kosovo Cup (basketball)"
"Suad Šehović",1987-02-19,"Bijelo Polje",,100000.0,2005-01-01,,"ABA League, EuroCup Basketball, Prva A Liga","Shooting guard, Small forward","KK Budućnost","2018–19 Prva A liga, 2020–21 Prva A liga, ABA League, ABA League Ideal Starting Five, Basketball Championship of Bosnia and Herzegovina, Montenegrin Basketball Cup, Prva A Liga, Slovenian Basketball Cup, Ukrainian Basketball Cup"
"Suad Šehović",1987-02-19,"Bijelo Polje",,100000.0,2005-01-01,,"ABA League, EuroCup Basketball","Shooting guard, Small forward","KK Budućnost","2020–21 Prva A liga, ABA League, ABA League Ideal Starting Five, Mirza Delibašić Cup, Montenegrin Basketball Cup, Ukrainian Basketball Cup"
"Egehan Arna",1997-01-05,"Istanbul",,93000.0,2015-01-01,,"Basketbol Süper Ligi","Small forward","Beşiktaş J.K. (men's basketball)","2017 Turkish Basketball Presidential Cup, EuroLeague"
"Egehan Arna",1997-01-05,"Istanbul",,93000.0,2015-01-01,,"Basketbol Süper Ligi","Small forward","Beşiktaş J.K. (men's basketball)","Basketbol Süper Ligi"
"Adas Juškevičius",1989-01-03,"Lithuanian Soviet Socialist Republic",,90000.0,2005-01-01,,"VTB United League","Point guard, Shooting guard","BC Parma","Lietuvos krepšinio lyga, VTB United League All-Star Game"
"Aigars Šķēle",1992-12-04,"Riga",,84000.0,2009-01-01,,"Basketball Bundesliga","Point guard","S.Oliver Würzburg","2017–18 KML season, Latvijas Basketbola līga"
"Suad Šehović",1987-02-19,"Socialist Federal Republic of Yugoslavia",,100000.0,2005-01-01,,"ABA League, EuroCup Basketball","Shooting guard, Small forward","KK Budućnost","2020–21 Prva A liga, ABA League, ABA League Ideal Starting Five, Mirza Delibašić Cup, Montenegrin Basketball Cup, Ukrainian Basketball Cup"
"Branko Cvetković",1984-03-05,"Gračanica, Bosnia and Herzegovina",,102000.0,2001-01-01,,"Second Regional Basketball League (Serbia)","Small forward","KK I Came to Play","ABA League"
"Adika Peter-McNeilly",1993-04-17,"Toronto",1.905,,2017-01-01,,"Canadian Elite Basketball League","Basketball positions","Edmonton Stingers","2021 CEBL season"
"Edgars Jeromanovs",1986-04-18,"Saldus",,,2002-01-01,,"Latvijas Basketbola līga","Point guard","BK Jūrmala","Latvian-Estonian Basketball League"
"Dexter Hope",1993-01-30,"Hoofddorp",,,2011-01-01,,"BNXT League","Point guard","Apollo Amsterdam","DBL All-Star Gala, Dutch Basketball League"
"Brad Stevens",1976-10-22,"Zionsville, Indiana",1.8542,,,,"National Basketball Association","Basketball positions","Boston Celtics","2011 Horizon League Men's Basketball Tournament"
"Dimitrios Priftis",1968-10-27,"Athens",,,,,"Greek Basket League","Head coach","Panathinaikos B.C.","Greek Basket League Best Coach"
"Len Komoroski",1960-02-21,"Pittsburgh",,,,,"National Basketball Association","Chief executive officer","Cleveland Cavaliers","Minnesota Strikers, Pennsylvania Sports Hall of Fame, Philadelphia Eagles, Pittsburgh Spirit"
"Brandon Triche",1991-02-21,"Syracuse, New York",1.9304,95256.0,2013-01-01,,"UAE National Basketball League","Point guard, Shooting guard","Shabab Al Ahli Basket","Mr. New York Basketball"
"Bradley Beal",1993-06-28,"St. Louis",1.9304,93895.2,2012-01-01,,"National Basketball Association","Shooting guard","Washington Wizards","All-NBA Team, FIBA Under-17 Basketball World Cup Most Valuable Player, Gatorade Player of the Year awards, List of NBA All-Stars, McDonald's All-American Game, Mr. Show-Me Basketball, NBA All-Rookie Team, Parade All-America Boys Basketball Team, Southeastern Conference"
"Sven Smajlagić",1990-06-05,"Zagreb",1.9558,90720.0,2009-01-01,,"Lietuvos krepšinio lyga","Shooting guard","BC Nevėžis","Basketball Championship of Bosnia and Herzegovina"
"Bobby Ray Parks Jr.",1993-02-19,"Parañaque",1.9304,97524.0,2015-01-01,,"B.League","Point guard, Shooting guard","Nagoya Diamond Dolphins","2016–17 ABL season, 2017–18 ABL season, 2018 ABL Finals, 2018–19 ABL season, ASEAN Basketball League, PBA All-Rookie Team, PBA Developmental League, Southeast Asia Basketball Association, Tennessee Mr. Basketball, UAAP Season 74 basketball tournaments, UAAP Season 75 basketball tournaments, University Athletic Association of the Philippines"
"Dion Prewster",1990-01-10,"Santa Ana, California",,96000.0,2011-01-01,,"National Basketball League (Australia)","Shooting guard","Melbourne United","2016 New Zealand NBL season"
"Elias Lasisi",1992-01-09,"Leuven",,80000.0,2012-01-01,,"Basketball Bundesliga","Shooting guard","Crailsheim Merlins","Belgian Basketball Cup, Pro Basketball League"
"Sue Bird",1980-10-16,"Syosset, New York",,68040.0,2002-01-01,,"Women's National Basketball Association","Point guard","Seattle Storm","Naismith College Player of the Year, Nancy Lieberman Award"
"Gal Mekel",1988-03-04,"Ramat HaSharon",,87000.0,2008-01-01,,"EuroCup Basketball, Liga ACB","Point guard","BC Andorra","2012–13 Israeli Basketball Super League, 2015–16 Israeli Basketball Super League, 2016–17 Israeli Basketball State Cup, Israeli Basketball Premier League, Israeli Basketball Premier League Discovery of the Year, Israeli Basketball Premier League MVP, Israeli Basketball Premier League Statistical Leaders, Israeli Basketball State Cup"
"Adem Mekić",1995-12-28,"North Macedonia",,91000.0,2013-01-01,,"ABA League Second Division","Shooting guard","KK MZT Skopje","Macedonian First League (basketball)"
"Devon Hall",1995-07-07,"Virginia Beach, Virginia",,86000.0,2018-01-01,,"EuroLeague, Lega Basket","Shooting guard","Olimpia Milano","Italian Basketball Cup"
"Adrian Banks",1986-02-09,"Memphis, Tennessee",,88000.0,2008-01-01,,"Lega Basket","Shooting guard","Pallacanestro Trieste","2017–18 Israeli Basketball Premier League, Lega Basket Serie A statistical leaders"
"DeJuan Wright",1988-12-07,"Detroit",1.905,,2012-01-01,,"Georgian Superliga","Shooting guard","BC Kutaisi 2010","2014–15 NBB Cup"
"Lisa Berkani",1997-05-19,"France",1.7526,,2014-01-01,,"Ligue Féminine de Basketball","Shooting guard","USO Mondeville","Ligue Féminine de Basketball"
"Björn Kristjánsson",1992-11-04,"Iceland",,,2009-01-01,,"Úrvalsdeild karla (basketball)","Shooting guard","KR men's basketball","Icelandic Men's Basketball Supercup, Úrvalsdeild karla (basketball)"
"Tyson Jolly",1997-08-10,"Muskogee, Oklahoma",1.9304,92988.0,,,"Metro Atlantic Athletic Conference","Shooting guard","Iona Gaels men's basketball","American Athletic Conference, National Junior College Athletic Association"
"Lester Quiñones",2000-11-16,"Brentwood, New York",1.9558,94348.8,,,"American Athletic Conference","Shooting guard","Memphis Tigers men's basketball","American Athletic Conference"
"Storm Murphy",1999-01-03,"Madison, Wisconsin",1.8288,83916.0,,,"Atlantic Coast Conference","Point guard","Virginia Tech Hokies men's basketball","Southern Conference"
